Symbol|Security Name|Market Category|Status|Test Issue
ACPOQ|Anthracite Capital, Inc. Preferred Series D|NBB||
ACPPQ|Anthracite Capital, Inc. Pfd Ser C|NBB||
ACRB|Asia Carbon Industries, Inc. Common|NBB||
ACRFF|Accor S A (F) Ordinary Shares|NBB||
ACRFY|Accor S A Unsponsored ADR (France)|NBB||
ACRT|Advanced Credit Technologies Inc Common Stock|NBB||
ACRVF|Agellan Coml Real Estate Invt Tr Trust Unit (Canada)|NBB||
ACSAF|Acs Actividades de Construccion y Servicios SA Ordinary Shares (Spain)|NBB||
ACSAY|ACS Actividades De Construccion Y Servicios SA Unsponsored ADR (Spain)|NBB||
ACSBL|Access Bk Nigeria Plc Sponsored GDR Reg S (Nigeria)|NBB||
ACSEF|ACS Motion Control Ltd. Common Stock|NBB||
ACSTF|Aerocast Inc Ordinary Shares (Canada)|NBB||
ACSX|A.C. Simmonds and Sons Inc. Common Stock|BB|ACTIVE|
ACSYF|Accsys Technologies plc Ordinary Shares (United Kingdom)|NBB||
ACTC|Advanced Cell Technology, Inc. Common Stock|NBB||
ACTFF|Asian Citrus Holdings Ltd Ordinary Shares (Bermuda)|NBB||
ACTL|Artec Global Media, Inc. Common Stock|BB|ACTIVE|
ACTLF|Accentuate Ltd. Shs (South Africa)|NBB||
ACTPF|Ascent Resources plc London Ordinary Shares (United Kingdom)|NBB||
ACTRF|Ascott Residence Trust Units Real Estate Investment Trust (Singapore)|NBB||
ACUC|American Uranium Corporation (NV) Common Stock|NBB||
ACUG|A & C United Agriculture Developing Inc Common Stock|NBB||
ACUS|Acusphere, Inc. (NEW) Common Stock|NBB||
ACWRF|Acceleware Ltd.  Common Shares (Canada)|NBB||
ACWY|Aceway Corp. Common|BB|ACTIVE|
ACXA|Accurexa Inc. Common Stock|BB|ACTIVE|
ACXIF|Acciona Sa Ordinary Shares|NBB||
ACXIY|Acciona Sa Unsponsored ADR (Spain)|NBB||
ADAC|Adama Technologies Corporation Common Stock|NBB||
ADARY|Autostrada Torino Milano Unsponsored ADR (Italy)|NBB||
ADBCF|Adelaide Brighton Ltd (Australia) Ordinary Shares|NBB||
ADBN|Americana Distribution, Inc. Common Stock|NBB||
ADCC|Savenergy Holdings, Inc. Common Stock|NBB||
ADCF|Advanced Defense Technologies, Inc. Common Stock|NBB||
ADCS|Advanced Content Services Inc Common Stock|NBB||
ADCV|AD Capital U.S. Inc. New Common Stock|NBB||
ADDC|Addmaster Corp Common Stock|NBB||
ADDDF|adidas AG Ordinary Shares (Germany)|NBB||
ADDNF|Addnode AB Ordinary Shares -B- (Sweden)|NBB||
ADDXF|Addex Pharmaceuticals Ltd. Ordinary Shares (Switzerland)|NBB||
ADDYY|adidas AG Sponsored ADR (Germany)|NBB||
ADEC|Alternative Energy Development Corporation Common Stock|NBB||
ADENF|Adira Energy Ltd.  Common Stock (Canada)|NBB||
ADERY|Aida Engineering Ltd ADR|NBB||
ADEXF|Advanced Explorations Inc Common shares (Canada)|NBB||
ADFJF|ADF Group Inc Sub Vtg Shs (Canada)|NBB||
ADFK|Admiral Financial Corp. Common Stock|NBB||
ADFMF|Advance Frontier Markets Fund Limited Ordinary shares (Guemsey)|NBB||
ADFS|American Defense Systems, Inc Common Stock|NBB||
ADFT|Adfitech, Inc. Common Stock|NBB||
ADGL|AllDigital Holdings, Inc. Common Stock|BB|ACTIVE|
ADGS|ADGS Advisory, Inc. Common Stock|NBB||
ADGSF|Atlantica Del Golfo Sugar Co Ordinary Shares|NBB||
ADHC|American Diversified Holdings Corporation Common Stock|NBB||
ADHLF|Applied Development Holdings Limited Ordinary Shares (Bermuda)|NBB||
ADHLY|Applied Development Holdings Limited Sponsored ADR (Hong Kong)|NBB||
ADIA|Adia Nutrition, Inc. Common Stock|NBB||
ADIMF|Asahi Diamond Indl Co Ltd Ordinary Shares|NBB||
ADIR|Adirondack Springs Beverages Inc Common Stock|NBB||
ADKIL|Adkins Energy LLC Unit Membership Int|NBB||
ADKT|Adirondack Tr Co Common Stock|NBB||
ADLI|American Medical Technologies Inc. Common Stock|NBB||
ADLS|Advanced Life Sciences Holdings, Inc. Common Stock|NBB||
ADMD|Advanced Medical Isotope Corp. Common Stock|NBB||
ADMG|Adamant DRI Processing and Minerals Group Common Stock|NBB||
ADMT|ADM Tronics Unlimited, Inc. Common Stock|NBB||
